PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+ COMMAND
784,dnsmasq,20,0,13808,1140,716,S,0,0.0, dnsmasq --no-hosts --no-resolv --strict-order --bind-interfaces --interfa
791,dnsmasq,20,0,13808,1144,716,S,0,0.0, dnsmasq --no-hosts --no-resolv --strict-order --bind-interfaces --interfa
804,root,20,0,0,0,0,S,0,0.0, [kworker/
809,root,20,0,0,0,0,S,0,0.0, [kworker/
853,dnsmasq,20,0,13808,1140,716,S,0,0.0, dnsmasq --no-hosts --no-resolv --strict-order --bind-interfaces --interfa
858,dnsmasq,20,0,13808,1232,716,S,0,0.0, dnsmasq --no-hosts --no-resolv --strict-order --bind-interfaces --interfa
962,root,20,0,0,0,0,S,0,0.0, [kjournald]
965,root,20,0,0,0,0,S,0,0.0, [kjournald]
967,root,20,0,0,0,0,S,0,0.0, [kjournald]
1088,root,20,0,149m,28m,2168,S,0,0.2, /usr/bin/python /usr/bin/neutron-ns-metadata-proxy --pid_file=/var/lib/ne
1100,root,20,0,149m,28m,2168,S,0,0.2, /usr/bin/python /usr/bin/neutron-ns-metadata-proxy --pid_file=/var/lib/ne
1123,root,20,0,149m,28m,2168,S,0,0.2, /usr/bin/python /usr/bin/neutron-ns-metadata-proxy --pid_file=/var/lib/ne
1126,root,20,0,149m,28m,2168,S,0,0.2, /usr/bin/python /usr/bin/neutron-ns-metadata-proxy --pid_file=/var/lib/ne
1219,root,0,-20,0,0,0,S,0,0.0, [target_completi]
1220,root,0,-20,0,0,0,S,0,0.0, [tmr-%s]
1281,root,0,-20,0,0,0,S,0,0.0, [bond0]
1362,gaussdba,20,0,1183m,10m,6788,S,0,0.1, gaussdb: OPENSTACK NEUTRON 172.28.0.2(36937) idle
1371,root,20,0,4024,648,536,S,0,0.0, /sbin/acpid
1383,messageb,20,0,27872,1144,852,S,0,0.0, /bin/dbus-daemon --system
1419,root,20,0,22300,2824,680,S,0,0.0, /usr/bin/python /usr/libexec/tuned/pmqos-static.py cpu_dma_latency=1
1469,root,20,0,0,0,0,S,0,0.0, [ovs_workq]
1493,root,10,-10,25376,608,200,S,0,0.0, ovsdb-server: monitoring pid 1494 (healthy)
1494,root,10,-10,25832,2820,1816,S,0,0.0, ovsdb-server /etc/openvswitch/conf.db -vconsole:emer -vsyslog:err -vfile:
1503,root,10,-10,25928,620,184,S,0,0.0, ovs-vswitchd: monitoring pid 1504 (healthy)
1504,root,10,-10,146m,64m,6304,S,0,0.4, ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:er
1574,root,20,0,57428,5820,1564,S,0,0.0, /usr/bin/python /usr/sbin/tuned -d -c /etc/tuned.conf
1661,gaussdba,20,0,1182m,8804,5992,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36960) idle
1669,gaussdba,20,0,1182m,8480,5716,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36961) idle
1674,haldaemo,20,0,38236,4192,3012,S,0,0.0, /usr/sbin/hald --daemon=yes
1677,root,20,0,98640,2236,1448,S,0,0.0, /usr/sbin/console-kit-daemon
1740,root,20,0,22332,1404,1156,S,0,0.0, hald-runner
1751,root,20,0,39056,2144,1820,S,0,0.0, hald-addon-input: Listening on /dev/input/event0 /dev/input/event2
1757,gaussdba,20,0,1182m,9880,6504,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36967) idle
1771,haldaemo,20,0,40812,2276,1928,S,0,0.0, hald-addon-acpi: listening on acpid socket /var/run/acpid.socket
1772,root,20,0,0,0,0,S,0,0.0, [kworker/
1777,root,20,0,39056,2152,1820,S,0,0.0, hald-addon-storage: polling /dev/sr0 (every 16 sec)
1779,root,20,0,39056,2152,1820,S,0,0.0, hald-addon-storage: no polling on /dev/fd0 because it is explicitly disab
1783,gaussdba,20,0,1182m,9348,6400,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36968) idle
1799,gaussdba,20,0,1182m,9792,7008,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36969) idle
1809,gaussdba,20,0,1182m,8364,5632,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36970) idle
1810,gaussdba,20,0,1182m,8904,5992,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36971) idle
1812,gaussdba,20,0,1182m,8368,5636,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36972) idle
1813,gaussdba,20,0,1182m,8388,5656,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36973) idle
1814,gaussdba,20,0,1182m,8376,5644,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36974) idle
1875,gaussdba,20,0,1182m,8632,5832,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36981) idle
1876,gaussdba,20,0,1182m,8380,5648,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36982) idle
1878,gaussdba,20,0,1182m,8384,5652,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36984) idle
1886,gaussdba,20,0,1182m,8904,5976,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36985) idle
1897,gaussdba,20,0,1182m,8384,5652,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36986) idle
1899,gaussdba,20,0,1182m,8908,6100,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36987) idle
1906,gaussdba,20,0,1182m,8372,5620,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36988) idle
1907,gaussdba,20,0,1182m,8384,5652,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36989) idle
1908,gaussdba,20,0,1182m,8384,5652,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36991) idle
2067,gaussdba,20,0,1182m,8372,5640,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(36992) idle
2112,gaussdba,20,0,1181m,6848,4484,S,0,0.0, gaussdb: OPENSTACK CINDER 172.28.0.2(36994) idle
2113,gaussdba,20,0,1181m,6844,4480,S,0,0.0, gaussdb: OPENSTACK CINDER 172.28.0.2(36995) idle
2116,cps,17,-3,109m,10m,3276,S,0,0.1, python /usr/local/bin/cbs-server/bin/cbs-server.py --ha ACTIVE --servers
2137,cps,17,-3,207m,13m,3544,S,0,0.1, python /usr/local/bin/cbs-server/bin/progress/progress_update.py --ha ACT
2142,cps,17,-3,11556,1588,1128,S,0,0.0, sh -c { curl --keepalive-time 3 -fs -X GET http://172.28.10.10v1/A
2143,cps,17,-3,45532,2548,1864,S,0,0.0, curl --keepalive-time 3 -fs -X GET http://172.28.10.10v1/AUTH_test
2226,gaussdba,20,0,1181m,7084,4708,S,0,0.0, gaussdb: OPENSTACK CINDER 172.28.0.2(36996) idle
2264,gaussdba,20,0,1181m,6192,3880,S,0,0.0, gaussdb: OPENSTACK NEUTRON 172.28.0.2(36997) idle
2324,root,20,0,53336,1324,948,S,0,0.0, /usr/sbin/cron
2325,root,20,0,53336,1324,948,S,0,0.0, /usr/sbin/cron
2326,root,20,0,53336,1324,948,S,0,0.0, /usr/sbin/cron
2327,root,20,0,53336,1324,948,S,0,0.0, /usr/sbin/cron
2328,root,20,0,53336,1324,948,S,0,0.0, /usr/sbin/cron
2329,root,20,0,53336,1324,948,S,0,0.0, /usr/sbin/cron
2330,root,20,0,53336,1320,948,S,0,0.0, /usr/sbin/cron
2331,root,20,0,53336,1320,948,S,0,0.0, /usr/sbin/cron
2336,root,20,0,11320,1304,1076,S,0,0.0, /bin/sh -c sleep 40s; sh /home/Hybrid-Cloud-Monitor/bin/NetMonitor.sh
2338,root,20,0,11320,1304,1076,S,0,0.0, /bin/sh -c sleep 40s; sh /home/Hybrid-Cloud-Monitor/bin/IOMonitor.sh
2339,root,20,0,11320,1304,1076,S,0,0.0, /bin/sh -c sleep 40s; sh /home/Hybrid-Cloud-Monitor/bin/MemMonitor.sh
2341,root,20,0,11320,1308,1076,S,0,0.0, /bin/sh -c sleep 20s; sh /home/Hybrid-Cloud-Monitor/bin/NetMonitor.sh
2342,root,20,0,11320,1312,1076,S,0,0.0, /bin/sh -c sleep 40s; sh /home/Hybrid-Cloud-Monitor/bin/CpuMonitor.sh
2345,root,20,0,11320,1308,1076,S,0,0.0, /bin/sh -c sleep 20s; sh /home/Hybrid-Cloud-Monitor/bin/CpuMonitor.sh
2346,root,20,0,11320,1304,1076,S,0,0.0, /bin/sh -c sleep 20s; sh /home/Hybrid-Cloud-Monitor/bin/IOMonitor.sh
2347,root,20,0,11320,1308,1076,S,0,0.0, /bin/sh -c sleep 20s; sh /home/Hybrid-Cloud-Monitor/bin/MemMonitor.sh
2348,root,20,0,4020,296,236,S,0,0.0, sleep 40s
2350,root,20,0,4020,300,236,S,0,0.0, sleep 40s
2351,root,20,0,4020,296,236,S,0,0.0, sleep 20s
2354,root,20,0,4020,300,236,S,0,0.0, sleep 40s
2355,root,20,0,4020,296,236,S,0,0.0, sleep 20s
2357,root,20,0,4020,300,236,S,0,0.0, sleep 20s
2358,root,20,0,28404,10m,952,S,0,0.1, /sbin/syslog-ng -a /var/lib/dhcp/dev/log -a /var/lib/dhcp6/dev/log
2361,root,20,0,4292,660,420,S,0,0.0, /sbin/klogd -c 5 -x
2369,root,20,0,4020,296,236,S,0,0.0, sleep 20s
2370,root,20,0,4020,300,236,S,0,0.0, sleep 40s
2373,root,20,0,8384,4600,332,S,0,0.0, /sbin/haveged -w 1024 -v 1
2581,gaussdba,20,0,1183m,11m,8060,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(37002) idle
2582,gaussdba,20,0,1182m,11m,7852,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(37003) idle
2588,gaussdba,20,0,1182m,7596,5128,S,0,0.0, gaussdb: OPENSTACK NEUTRON 172.28.0.2(37008) idle
2591,gaussdba,20,0,1181m,7168,4708,S,0,0.0, gaussdb: OPENSTACK NEUTRON 172.28.0.2(37009) idle
2649,gaussdba,20,0,1182m,7872,5320,S,0,0.0, gaussdb: OPENSTACK NOVA 172.28.0.2(37010) idle
2651,root,20,0,53736,1252,636,S,0,0.0, /usr/sbin/sshd -o PidFile=/var/run/sshd.init.pid
2662,gaussdba,20,0,1181m,7688,5216,S,0,0.0, gaussdb: OPENSTACK NEUTRON 172.28.0.2(37011) idle
2663,root,20,0,26976,520,388,S,0,0.0, /usr/bin/sysalarm
2667,gaussdba,20,0,1182m,9296,6240,S,0,0.1, gaussdb: OPENSTACK NOVA 172.28.0.2(37012) idle
2679,gaussdba,20,0,1182m,7872,5320,S,0,0.0, gaussdb: OPENSTACK NOVA 172.28.0.2(37013) idle
2695,gaussdba,20,0,1182m,8144,5328,S,0,0.1, gaussdb: OPENSTACK CINDER 172.28.0.2(37016) idle
2697,gaussdba,20,0,1182m,7880,5328,S,0,0.0, gaussdb: OPENSTACK NOVA 172.28.0.2(37017) idle
2721,root,20,0,318m,5816,2300,S,0,0.0, /usr/bin/UVPHostd
2789,root,20,0,8792,548,288,S,0,0.0, /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
2790,root,20,0,124m,2700,1360,S,0,0.0, /usr/bin/hirmd -i 15 -S 0 -l 5 -H 0 -O 1
2807,root,20,0,99.9m,1560,408,S,0,0.0, /usr/sbin/vBMC_agentd -d
2825,root,20,0,98.4m,900,636,S,0,0.0, /usr/bin/sysmonitor
2887,root,20,0,0,0,0,S,0,0.0, [flush-25
2888,root,20,0,0,0,0,S,0,0.0, [flush-25
2892,gaussdba,20,0,1181m,7204,4828,S,0,0.0, gaussdb: OPENSTACK NOVA 172.28.0.2(37024) idle
2902,gaussdba,20,0,1181m,7220,4840,S,0,0.0, gaussdb: OPENSTACK NOVA 172.28.0.2(37026) idle
2907,root,20,0,0,0,0,S,0,0.0, [kauditd]
2988,gaussdba,20,0,1181m,6536,4200,S,0,0.0, gaussdb: OPENSTACK NEUTRON 172.28.0.2(37034) idle
3031,root,20,0,12692,932,772,S,0,0.0, /sbin/mingetty --noclear tty1
3032,root,20,0,12692,924,768,S,0,0.0, /sbin/mingetty tty2
3033,root,20,0,12692,924,768,S,0,0.0, /sbin/mingetty tty3
3034,root,20,0,12692,924,768,S,0,0.0, /sbin/mingetty tty4
3036,root,20,0,12692,904,756,S,0,0.0, /sbin/mingetty tty5
3037,root,20,0,12692,928,768,S,0,0.0, /sbin/mingetty tty6
3038,root,20,0,4032,608,516,S,0,0.0, /sbin/agetty -L 115200 ttyS0 xterm
3044,gaussdba,20,0,1181m,6520,4184,S,0,0.0, gaussdb: OPENSTACK NEUTRON 172.28.0.2(37039) idle
3045,openstac,20,0,11504,1588,1128,S,0,0.0, sh -c { sudo arping 172.28.10.252 -D -w 2 -I brcps; } 2>&1
3046,root,20,0,41576,2316,1572,S,0,0.0, sudo arping 172.28.10.252 -D -w 2 -I brcps
3047,root,20,0,9200,660,504,S,0,0.0, arping 172.28.10.252 -D -w 2 -I brcps
